CID,検索ID,置換ID,検索,置換
14305,2e83,4e5a,⺃,乚
13856,2e85,4ebb,⺅,亻
14356,2e89,5202,⺉,刂
14110,2e8b,353e,⺋,㔾
4209,2e8e,5140,⺎,兀
14476,2e8f,5c23,⺏,尣
4646,2e90,5c22,⺐,尢
3762,2e92,5df3,⺒,巳
4739,2e93,5e7a,⺓,幺
4779,2e94,5f51,⺔,彑
14530,2e96,5fc4,⺖,忄
14561,2e98,624c,⺘,扌
5059,2e99,6535,⺙,攵
5089,2e9b,65e1,⺛,旡
3644,2e9f,6bcd,⺟,母
3773,2ea0,6c11,⺠,民
14689,2ea1,6c35,⺡,氵
14690,2ea2,6c3a,⺢,氺
14749,2ea3,706c,⺣,灬
14157,2ea6,4e2c,⺦,丬
14780,2ea8,72ad,⺨,犭
14999,2eab,7f52,⺫,罒
2260,2eac,793a,⺬,示
14905,2ead,793b,⺭,礻
15000,2eb1,7f53,⺱,罓
14999,2eb2,7f52,⺲,罒
14099,2eb9,8002,⺹,耂
14197,2ebe,8279,⺾,艹
1931,2ec1,864e,⻁,虎
15114,2ec2,8864,⻂,衤
13870,2ec3,8980,⻃,覀
2658,2ec4,897f,⻄,西
15184,2ecd,8fb6,⻍,辶
15262,2ecf,961d,⻏,阝
3029,2ed1,9577,⻑,長
15255,2ed2,9578,⻒,镸
15262,2ed6,961d,⻖,阝
2664,2ed8,9752,⻘,青
13848,2edf,98e0,⻟,飠
1614,2ee4,9b3c,⻤,鬼
3380,2ee8,9ea6,⻨,麦
1323,2ee9,9ec4,⻩,黄
2666,2eeb,6589,⻫,斉
2243,2eed,6b6f,⻭,歯
3965,2eef,7adc,⻯,竜
1615,2ef2,4e80,⻲,亀
1200,2f00,4e00,⼀,一
8371,2f01,4e28,⼁,丨
4095,2f02,4e36,⼂,丶
4097,2f03,4e3f,⼃,丿
1333,2f04,4e59,⼄,乙
4102,2f05,4e85,⼅,亅
3275,2f06,4e8c,⼆,二
4110,2f07,4ea0,⼇,亠
2579,2f08,4eba,⼈,人
4208,2f09,513f,⼉,儿
3286,2f0a,5165,⼊,入
3392,2f0b,516b,⼋,八
4219,2f0c,5182,⼌,冂
4227,2f0d,5196,⼍,冖
4233,2f0e,51ab,⼎,冫
4243,2f0f,51e0,⼏,几
4248,2f10,51f5,⼐,凵
3163,2f11,5200,⼑,刀
3991,2f12,529b,⼒,力
4294,2f13,52f9,⼓,勹
4301,2f14,5315,⼔,匕
4302,2f15,531a,⼕,匚
4307,2f16,5338,⼖,匸
2375,2f17,5341,⼗,十
3708,2f18,535c,⼘,卜
4316,2f19,5369,⼙,卩
4321,2f1a,5382,⼚,厂
4328,2f1b,53b6,⼛,厶
3746,2f1c,53c8,⼜,又
1969,2f1d,53e3,⼝,口
4459,2f1e,56d7,⼞,囗
3156,2f1f,571f,⼟,土
2204,2f20,58eb,⼠,士
4538,2f21,5902,⼡,夂
4539,2f22,590a,⼢,夊
3878,2f23,5915,⼣,夕
2887,2f24,5927,⼤,大
2433,2f25,5973,⼥,女
2208,2f26,5b50,⼦,子
4622,2f27,5b80,⼧,宀
2631,2f28,5bf8,⼨,寸
2454,2f29,5c0f,⼩,小
4646,2f2a,5c22,⼪,尢
4648,2f2b,5c38,⼫,尸
4658,2f2c,5c6e,⼬,屮
2177,2f2d,5c71,⼭,山
4716,2f2e,5ddb,⼮,巛
1979,2f2f,5de5,⼯,工
1918,2f30,5df1,⼰,己
1738,2f31,5dfe,⼱,巾
1519,2f32,5e72,⼲,干
4739,2f33,5e7a,⼳,幺
4741,2f34,5e7f,⼴,广
4761,2f35,5ef4,⼵,廴
4763,2f36,5efe,⼶,廾
4768,2f37,5f0b,⼷,弋
1655,2f38,5f13,⼸,弓
14521,2f39,5f50,⼹,彐
4783,2f3a,5f61,⼺,彡
4785,2f3b,5f73,⼻,彳
2554,2f3c,5fc3,⼼,心
4930,2f3d,6208,⼽,戈
