[2022/04/12 12:53:20][DEBUG](MailDBUpdate.py:179) エクセルブックを読込 MainFlow d:\PythonScript\RPAScript\MailDBUpdate.py
[2022/04/12 12:53:20][DEBUG](MailDBUpdate.py:199) Excelデータを履歴テーブルにインサート MainFlow d:\PythonScript\RPAScript\MailDBUpdate.py
[2022/04/12 12:53:20][DEBUG](SQLConnect.py:151) MysqlColumnPic(テーブルのカラム情報をタプルで返す)完了: debug level log MysqlColumnPic d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:20][DEBUG](SQLConnect.py:85) MySQLAct(SQL文を送信、結果をBooleanで返す)完了: debug level log MySQLAct d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:20][DEBUG](SQLConnect.py:30) MySQLGet(SQL文を送信し、結果を返す)完了: debug level log MySQLGet d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:20][DEBUG](SQLConnect.py:118) MysqlColumnCheck(引数のカラム名(ColN)と一致する引数テーブル(TB)のカラムのデータ型を返す)完了: debug level log MysqlColumnCheck d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:20][DEBUG](SQLConnect.py:280) ChangeData(引数で渡したTBのカラムに応じたデータ型に合わせて値を変更する。)完了: debug level log ChangeData d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:20][DEBUG](SQLConnect.py:118) MysqlColumnCheck(引数のカラム名(ColN)と一致する引数テーブル(TB)のカラムのデータ型を返す)完了: debug level log MysqlColumnCheck d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:20][DEBUG](SQLConnect.py:280) ChangeData(引数で渡したTBのカラムに応じたデータ型に合わせて値を変更する。)完了: debug level log ChangeData d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:20][DEBUG](SQLConnect.py:118) MysqlColumnCheck(引数のカラム名(ColN)と一致する引数テーブル(TB)のカラムのデータ型を返す)完了: debug level log MysqlColumnCheck d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:20][DEBUG](SQLConnect.py:280) ChangeData(引数で渡したTBのカラムに応じたデータ型に合わせて値を変更する。)完了: debug level log ChangeData d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:20][DEBUG](SQLConnect.py:118) MysqlColumnCheck(引数のカラム名(ColN)と一致する引数テーブル(TB)のカラムのデータ型を返す)完了: debug level log MysqlColumnCheck d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:20][DEBUG](SQLConnect.py:280) ChangeData(引数で渡したTBのカラムに応じたデータ型に合わせて値を変更する。)完了: debug level log ChangeData d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:20][DEBUG](SQLConnect.py:118) MysqlColumnCheck(引数のカラム名(ColN)と一致する引数テーブル(TB)のカラムのデータ型を返す)完了: debug level log MysqlColumnCheck d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:20][DEBUG](SQLConnect.py:280) ChangeData(引数で渡したTBのカラムに応じたデータ型に合わせて値を変更する。)完了: debug level log ChangeData d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:118) MysqlColumnCheck(引数のカラム名(ColN)と一致する引数テーブル(TB)のカラムのデータ型を返す)完了: debug level log MysqlColumnCheck d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:280) ChangeData(引数で渡したTBのカラムに応じたデータ型に合わせて値を変更する。)完了: debug level log ChangeData d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:118) MysqlColumnCheck(引数のカラム名(ColN)と一致する引数テーブル(TB)のカラムのデータ型を返す)完了: debug level log MysqlColumnCheck d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:280) ChangeData(引数で渡したTBのカラムに応じたデータ型に合わせて値を変更する。)完了: debug level log ChangeData d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:118) MysqlColumnCheck(引数のカラム名(ColN)と一致する引数テーブル(TB)のカラムのデータ型を返す)完了: debug level log MysqlColumnCheck d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:280) ChangeData(引数で渡したTBのカラムに応じたデータ型に合わせて値を変更する。)完了: debug level log ChangeData d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:118) MysqlColumnCheck(引数のカラム名(ColN)と一致する引数テーブル(TB)のカラムのデータ型を返す)完了: debug level log MysqlColumnCheck d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:280) ChangeData(引数で渡したTBのカラムに応じたデータ型に合わせて値を変更する。)完了: debug level log ChangeData d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:118) MysqlColumnCheck(引数のカラム名(ColN)と一致する引数テーブル(TB)のカラムのデータ型を返す)完了: debug level log MysqlColumnCheck d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:280) ChangeData(引数で渡したTBのカラムに応じたデータ型に合わせて値を変更する。)完了: debug level log ChangeData d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:118) MysqlColumnCheck(引数のカラム名(ColN)と一致する引数テーブル(TB)のカラムのデータ型を返す)完了: debug level log MysqlColumnCheck d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:280) ChangeData(引数で渡したTBのカラムに応じたデータ型に合わせて値を変更する。)完了: debug level log ChangeData d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:118) MysqlColumnCheck(引数のカラム名(ColN)と一致する引数テーブル(TB)のカラムのデータ型を返す)完了: debug level log MysqlColumnCheck d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:280) ChangeData(引数で渡したTBのカラムに応じたデータ型に合わせて値を変更する。)完了: debug level log ChangeData d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:118) MysqlColumnCheck(引数のカラム名(ColN)と一致する引数テーブル(TB)のカラムのデータ型を返す)完了: debug level log MysqlColumnCheck d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:280) ChangeData(引数で渡したTBのカラムに応じたデータ型に合わせて値を変更する。)完了: debug level log ChangeData d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:118) MysqlColumnCheck(引数のカラム名(ColN)と一致する引数テーブル(TB)のカラムのデータ型を返す)完了: debug level log MysqlColumnCheck d:\PythonScript\RPAScript\Function\SQLConnect.py
[2022/04/12 12:53:21][DEBUG](SQLConnect.py:280) ChangeData(引数で渡したTBのカラムに応じたデータ型に合わせて値を変更する。)完了: debug level log ChangeData d:\PythonScript\RPAScript\Function\SQLConnect.py
