[2022/04/25 16:35:22][DEBUG](PDFReadForList copy.py:1847) \\Sv05121a\e\電子ファイル\メッセージボックス\TEST内のPDF抽出開始 <module> d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:36:48][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/109_有限会社 シラカワ_広島市__法人市民税の予定申告プレ申告データの送付について.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:38:09][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/138_株式会社 コジマホールディングス_広島市__法人市民税の予定申告プレ申告データの送付について.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:38:24][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/177_小島建興株式会社_広島市__法人市民税の予定申告プレ申告データの送付について.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:39:05][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/252_株式会社 ｗｉｓｈＡＩ_広島市（法人）_税務部市民税課法人課税係_申告書の訂正通知.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:39:07][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/280_有限会社 セレブイン_広島市__法人市民税の予定申告プレ申告データの送付について.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:39:09][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/286_株式会社 環境開発公社_広島市__法人市民税の予定申告プレ申告データの送付について.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:39:10][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/289_株式会社 城明設計_広島市__法人市民税の予定申告プレ申告データの送付について.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:39:20][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/319_櫻井ビル 株式会社_広島市__法人市民税の予定申告プレ申告データの送付について.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:39:32][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/484_有限会社 小田隆_呉市役所__プレ申告データについて.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:39:40][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/584_株式会社 エデュコム_呉市役所__プレ申告データについて.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:39:44][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/629_株式会社 イーコム_広島市（法人）_税務部市民税課法人課税係_申告書の訂正通知.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:39:46][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/629_株式会社 イーコム_広島県西部県税事務所（広島）_法人課税課_申告書の訂正通知.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:39:47][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/672_有限会社 テレコムエイト_呉市役所__プレ申告データについて.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:39:49][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/685_有限会社 サニーコーポレーション_広島県西部県税事務所（広島）_法人課税課_申告書の訂正通知.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:39:57][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/712_中山法面工業 有限会社_山口県山口県税事務所__提出先・手続き情報訂正通知.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:39:58][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/777_株式会社 フォーエム_広島市__法人市民税の予定申告プレ申告データの送付について.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:40:00][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/782_医療法人社団 女性クリニックラポール_広島市__法人市民税の予定申告プレ申告データの送付について.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:40:06][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/82_有限会社 三興_広島市（法人）_税務部市民税課法人課税係_申請・届出受付完了通知.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:40:07][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/82_有限会社 三興_広島県西部県税事務所（広島）_法人課税課_申請・届出受付完了通知.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:40:13][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/887_株式会社 トレイドマン_山口県山陽小野田市役所_山口県山陽小野田市役所税務課_申告書の受理通知.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/04/25 16:40:38][DEBUG](PDFReadForList copy.py:1545) //Sv05121a/e/電子ファイル/メッセージボックス/TEST/el/98_株式会社 木ままや_広島市__法人市民税の予定申告プレ申告データの送付について.pdf_1ページ目取得失敗 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
