[2022/05/11 13:00:06][DEBUG](PDFReadForList copy.py:729) \\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\eLTAX受信通知内のPDF抽出開始 <module> d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:01:17][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/107_有限会社 ブリスアート_【京都市】資産税課（左京区分）_償却資産担当_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:01:22][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/108_合同会社 壬辰_広島市（償却資産・中区）_税務部固定資産税課償却資産係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:01:25][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/109_有限会社 シラカワ_広島市（法人）_税務部市民税課法人課税係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:01:28][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/109_有限会社 シラカワ_広島県西部県税事務所（東広島）_法人課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:01:30][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/109_有限会社 シラカワ_東広島市役所 財務部 市民税課__申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:01:33][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/116_有限会社 ナカイ_広島県西部県税事務所（廿日市）_法人課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:01:35][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/116_有限会社 ナカイ_廿日市市役所_課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:01:38][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/118_有限会社 龍野畳商会_広島市（法人）_税務部市民税課法人課税係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:01:40][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/118_有限会社 龍野畳商会_広島県西部県税事務所（広島）_法人課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:01:43][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/122_株式会社 ニッソク広島_広島市（法人）_税務部市民税課法人課税係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:01:45][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/122_株式会社 ニッソク広島_広島県西部県税事務所（広島）_法人課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:01:48][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/125_有限会社 上剃建設_広島市（法人）_税務部市民税課法人課税係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:01:51][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/125_有限会社 上剃建設_広島県西部県税事務所（広島）_法人課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:01:53][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/128_株式会社 ひなた_広島市（償却資産・中区）_税務部固定資産税課償却資産係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:01:55][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/128_株式会社 ひなた_広島市（償却資産・西区）_税務部固定資産税課償却資産係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:01:57][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/139_典工 株式会社_広島市（償却資産・安佐南区）_税務部固定資産税課償却資産係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:00][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/157_有限会社 殿林_広島市（法人）_税務部市民税課法人課税係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:02][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/157_有限会社 殿林_広島県安芸高田市市民部税務課_市民部税務課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:05][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/157_有限会社 殿林_広島県西部県税事務所（芸北）_法人課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:07][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/197_医療法人社団 益田歯科クリニック_広島市（償却資産・東区）_税務部固定資産税課償却資産係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:10][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/212_株式会社 サンエスシステム_安城市役所_市民税課市民税係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:12][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/212_株式会社 サンエスシステム_岡山市役所財政局課税管理課_岡山市役所財政局課税管理課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:15][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/212_株式会社 サンエスシステム_岡山県備前県民局税務部_直税課法人課税第一、二班_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:17][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/212_株式会社 サンエスシステム_広島市（法人）_税務部市民税課法人課税係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:20][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/212_株式会社 サンエスシステム_広島県西部県税事務所（広島）_法人課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:23][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/212_株式会社 サンエスシステム_愛知県西三河県税事務所_県民税・事業税グループ_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:25][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/215_有限会社 ＡＰＣ企画_広島市（法人）_税務部市民税課法人課税係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:28][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/215_有限会社 ＡＰＣ企画_広島県西部県税事務所（廿日市）_法人課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:30][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_【京都市】市税事務所法人税務担当（法人市民税担当）_法人市民税担当_申請・届出受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:33][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_三重県桑名県税事務所_課税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:35][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_京都府税務課__申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:37][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_京都府税務課__申請・届出受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:40][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_佐賀県税事務所_課税課直税担当_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:43][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_兵庫県神戸県民センター神戸県税事務所__申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:46][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_北海道札幌道税事務所_税務管理部課税第一課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:48][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_大分県大分県税事務所_課税第一課事業税班_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:51][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_大阪府中央府税事務所_事業税課_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:53][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_宮古市税務課_税務課_申請・届出受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:56][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_宮崎県宮崎県税・総務事務所_課税第１課課税第１担当_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:02:58][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_山口県山口県税事務所_課税課 課税第一班_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:01][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_岐阜県岐阜県税事務所_課税課 法人事業税第一係・第二係_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:03][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_岡山市役所財政局課税管理課_岡山市役所財政局課税管理課_申請・届出受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/11 13:03:06][DEBUG](PDFReadForList copy.py:353) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/eLTAX受信通知/221_株式会社 ホーユー_岡山県備前県民局税務部_直税課法人課税第一、二班_申告受付完了通知.pdf_1ページ目取得対象外 CSVIndexSort d:\PythonScript\RPAScript\PDFReadForList copy.py
