[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:907) \\Sv05121a\e\電子ファイル\メッセージボックス\2022-2\0納付内のPDF抽出開始 <module> d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/012.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/052.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/1143.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/1148.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/1170.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/1188.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/1202.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/1228.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/128.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/163.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/1834.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
[2022/05/16 10:54:31][DEBUG](PDFReadForList copy.py:748) //Sv05121a/e/電子ファイル/メッセージボックス/2022-2/0納付/1851.xdw_xdwファイルの為取得不可 PDFRead d:\PythonScript\RPAScript\PDFReadForList copy.py
