"日付","摘要","出金","入金","残高","抽出文字列"
"04-08-22","","","",320395.0,""
"04-08-22","002K",818.0,24967.0,345362.0,"ヨキンキ/"
"04-08-22","002K",919.0,57970.0,403332.0,"ヨキンキ/"
"04-08-22","002Q",20000.0,"",383332.0,"\,シハライキ"
"04-08-23","002LT","",80000.0,463332.0,"ゴートウーイートヒロシ"
"04-08-23","002K",820.0,83440.0,546772.0,"ヨキンキ/"
"04-08-23","002K",922.0,1000.0,547772.0,"ヨキンキ/"
"04-08-23","002Q",20000.0,"",527772.0,"\,シハライキ"
"04-08-24","002K",823.0,20010.0,547782.0,"ヨキンキ/"
"04-08-25","002LT","",5100.0,552882.0,"リクルートポイントプ"
"04-08-25","002LT","",361847.0,914729.0,"カリクルートペイメ"
"04-08-25","002K",924.0,42495.0,957224.0,"ヨキンキ/"
"","","","","",""
"04-08-25","002Q",220000.0,"",737224.0,"シハライキ"
"04-08-26","002RT",525.0,"",736699.0,"\ソフトバンクモバイル"
"04-08-26","002RT",6510.0,"",730189.0,"\,スカパーSMFS"
"04-08-26","002RT",6896.0,"",723293.0,"\,ソフトバンクモバイル個人"
"04-08-26","002K",815.0,53727.0,777020.0,"ヨキンキ/*,県信"
"04-08-26","002Q",100000.0,1820000000.0,677020.0,"シハライキ生活費"
"04-08-29","002RT",3851.0,"",673169.0,"APSBSリヨウ"
"04-08-29","002RT",5368.0,"",667801.0,"\,APソフトバンクB"
"04-08-29","002RT",11500.0,"",656301.0,"SMBCタイヘイ"
"04-08-29","002RT",16300.0,"",640001.0,"\,ジヤツクス"
