[2022/09/26 11:38:45][DEBUG](ViewGUI.py:44) Network: ws247 __init__ ViewGUI.py
[2022/09/26 11:38:45][DEBUG](ViewGUI.py:45) Machine: AMD64 __init__ ViewGUI.py
[2022/09/26 11:38:45][DEBUG](ViewGUI.py:46) Processor: Intel64 Family 6 Model 165 Stepping 5, GenuineIntel __init__ ViewGUI.py
[2022/09/26 11:38:45][DEBUG](ViewGUI.py:47) Platform: Windows-10-10.0.19041-SP0 __init__ ViewGUI.py
[2022/09/26 11:38:45][DEBUG](ViewGUI.py:48) System: Windows __init__ ViewGUI.py
[2022/09/26 11:38:45][DEBUG](ViewGUI.py:49) Release: 10 __init__ ViewGUI.py
[2022/09/26 11:38:45][DEBUG](ViewGUI.py:50) Version: 10.0.19041 __init__ ViewGUI.py
[2022/09/26 11:38:45][DEBUG](ViewGUI.py:51) MAC Address: 80E8_2CFB_55FD __init__ ViewGUI.py
[2022/09/26 11:38:45][DEBUG](ViewGUI.py:52) Host name: ws247 __init__ ViewGUI.py
[2022/09/26 11:38:45][DEBUG](ViewGUI.py:53) IP Address: 192.168.56.1 __init__ ViewGUI.py
[2022/09/26 11:38:45][DEBUG](ViewGUI.py:54) ViewGUI起動 __init__ ViewGUI.py
[2022/09/26 11:38:45][DEBUG](ViewGUI.py:293) ViewGUI起動完了 __init__ ViewGUI.py
[2022/09/26 11:38:46][DEBUG](ViewGUI.py:431) フォルダー選択起動 event_set_folder ViewGUI.py
[2022/09/26 11:38:46][DEBUG](ViewGUI.py:608) OverSaveボタン起動 event_Searchsave ViewGUI.py
[2022/09/26 11:38:49][DEBUG](ViewGUI.py:439) D:/OCRTESTPDF/PDFTEST_フォルダー選択完了 event_set_folder ViewGUI.py
[2022/09/26 11:38:50][DEBUG](ViewGUI.py:446) ファイル選択起動 event_updatefile ViewGUI.py
[2022/09/26 11:38:50][DEBUG](ViewGUI.py:608) OverSaveボタン起動 event_Searchsave ViewGUI.py
[2022/09/26 11:38:52][DEBUG](PngImagePlugin.py:186) STREAM b'IHDR' 16 13 call PIL\PngImagePlugin.py
[2022/09/26 11:38:52][DEBUG](PngImagePlugin.py:186) STREAM b'IDAT' 41 65536 call PIL\PngImagePlugin.py
[2022/09/26 11:38:52][DEBUG](ViewGUI.py:476) D:/OCRTESTPDF/PDFTEST\Hirogin_1page.png_ファイル選択後イベント完了 event_selectfile ViewGUI.py
[2022/09/26 11:38:54][DEBUG](ViewGUI.py:525) Tryボタン起動 event_clip_try ViewGUI.py
