No,TKC,MJS,STR,Time
,,,,
1081.0,,,_データオープンエラー,2022-02-10 09:43:17.544155
1170.0,,,_データオープンエラー,2022-02-10 09:43:35.825154
1185.0,,,_データオープンエラー,2022-02-10 09:43:53.899482
1202.0,,,_データオープンエラー,2022-02-10 09:44:11.997030
1205.0,,,_データオープンエラー,2022-02-10 09:44:29.969373
12.0,有限会社　広島シティサービス,有限会社　広島シティサービス,_利用登録なし,2022-02-10 09:44:43.773141
1345.0,,,_データオープンエラー,2022-02-10 09:45:01.965462
1374.0,,,_データオープンエラー,2022-02-10 09:45:20.201549
1378.0,,,_データオープンエラー,2022-02-10 09:45:38.493559
1433.0,,,_データオープンエラー,2022-02-10 09:45:56.919904
1594.0,,,_データオープンエラー,2022-02-10 09:46:15.208764
1767.0,,,_データオープンエラー,2022-02-10 09:46:33.903296
1836.0,,,_データオープンエラー,2022-02-10 09:46:52.425348
1941.0,,,_データオープンエラー,2022-02-10 09:47:11.159669
203.0,有限会社　ＺＥＲＯ,,_ミロク機能登録なし,2022-02-10 09:47:27.851840
213.0,サンステップ　有限会社,,_ミロク機能登録なし,2022-02-10 09:47:44.614895
240.0,株式会社　シビル調査設計,㈱シビル調査設計,_利用登録なし,2022-02-10 09:47:58.474678
253.0,株式会社　営繕本舗,㈱検査技術サービス,_利用登録なし,2022-02-10 09:48:12.256762
282.0,株式会社　ＫＩｗｏｒｋｓ,株式会社　ＫＩｗｏｒｋｓ,_利用登録なし,2022-02-10 09:48:26.202494
284.0,,,_データオープンエラー,2022-02-10 09:48:43.389284
286.0,株式会社　環境開発公社,株式会社　環境開発公社,_利用登録なし,2022-02-10 09:48:57.214471
295.0,シーエムシー　株式会社,シーエムシー株式会社,_利用登録なし,2022-02-10 09:49:11.008589
370.0,有限会社　大堀学園,有限会社　大堀学園,_利用登録なし,2022-02-10 09:49:25.286494
463.0,株式会社　星光,,_データオープン成功,2022-02-10 09:49:42.653458
514.0,アルファバイオ　株式会社,アルファバイオ株式会社,_利用登録なし,2022-02-10 09:50:07.801047
52.0,株式会社　ヨコロ,株式会社　ヨコロ,_利用登録なし,2022-02-10 09:50:19.683931
586.0,株式会社　伸月,株式会社　伸月,_データオープン成功,2022-02-10 09:50:41.076606
586,株式会社　伸月,株式会社　伸月,_データオープン成功,2022-02-10 09:55:19.317583
