日付,No,無題,摘要,種類,出金,入金,残高,摘要2
120104,038,,クレジット,支払,10876,,24565771,トヨタファイナンス(カブ
120105,929,,キュウヨ,入金,,223221,24788992,
120110,038.,,クレジット,支払,2000,,24786992,ヒロシマギンコウDC
1201E6,929:,,フリコミ,入金,,9416,24796408,トウシンブンパイキン
120118,929:,,フリコミ,入金,,23562,24819970,トウシンブンパイキン
120120,929:.,,フリコミ,入金,,24741,24844711,トウシンブンパイキン
120126,929:,,フリコミ,入金,,Bas::0701,24852412,トウシンブンパイキン
120127,038,,クレジット,支払,1029,,24851383,オリコ
120131,929,,フリコミ,入金,,24891,,トウシンブンパイキン
120131,929,,フリコミ,入金,,50825,24927099,トウシンブンパイキン
120202,038,,クレジット,支払,15008,,24912091,トヨタファイナンス(カブ
120203,929,,キュウヨ,入金,,213594,25125685,
120206,038,,クレジット,支払,1312,,25124373,UC(アオヤマキャピタル)
120210,038,,クレジット,支払,2700,,25121673,ヒロシマギンコウDC
120214,929,,フリコミ,入金,,9416,25131089,トウシンブンパイキン
120217,929,,フリコミ,入金,,23562,25154651,トウシンブンパイキン
120221,929,,フリコミ,入金,,24741,25179392,トウシンブンパイキン
120224,929,,フリコミ,入金,,7701,25187093,トウシンブンパイキン
120302,038,,クレジット,支払,19120,,,トヨタファイナンス(カブ
120302,929,,フリコミ,入金,,24891,25192864,トウシンブンパイキン
123005,929,,キュウヨ,大金..,,213888,25406752,
120312,038,,リソク,入金,,1935,,
120312,038,,クレジット,支払,2000,,25406687,ヒロシマギンコウDC
120314,929,,フリコミ,入金,,9416,25416103,トウシンブンパイキン
120316,929,,フリコミ,入金,,23562,25439665,トウシンブンパイキン
120319,998,,フリコミ,振込,,90000,25529665,ハートフォードセイメイホケ
120322,929,,フリコミ,入金,,24741,25554406,トウシンブンパイキン
120327,929:,,フリコミ,入金,ス,7701,25562107,トウシンブンパイキン
120330,929,,フリコミ,入金,,24891,,トウシンブンパイキン
120330,929,,フリコミ,入金,,45744,25632742,トウシンブンパイキン
120402,038,,クレジット,支払,7721,,25625021,トヨタファイナンス(カブ
120405,929,,キュウヨ,入金,,211764,25836785,
120410,038,,クレジット,支払,2000,,25834785,ヒロシマギンコウDC
120413,929,,フリコミ,入金,,9416,25844201,トウシンブンパイキン
120418,929.,,フリコミ,入金,,23562,25867763,トウシンブンパイキン
120420,929,,フリコミ,入金,,24741,25892504,トウシンブンパイキン
320426:,929.,,フリコミ,入金,,7701,25900205,トウシンブンパイキン
120502,038,,クレジット,支払,6788,,,トヨタファイナンス(カブ
12050Z,929,,キュウヨ,入金,,213886,,
120502,929,,フリコミ,入金,,24891,26132194,トウシンブンパイキン
120510,038,,クレジット,支払,12500,,26119694,ヒロシマギンコウDC
120514,929,,フリコミ,入金,,9416,26129110,トウシンブンパイキン
120518,929,,フリコミ,入金,00,:::23562,26152672,トウシンブンパイキン
120521,929,,フリコミ,入金,,24741,26177413,トウシンブンパイキン
120525,929,,フリコミ,入金,,7701,26185114,トウシンブンパイキン
120530,998,,ハイトウキン,振込,,1620,26186734,カゴメ
120531,929,,フリコミ,入金,,24891,,トウシンブンパイキン
120531,929,,フリコミ,入金,,50825,26262450,トウシンブンパイキン
120604,038,,クレジット,支払,15250,,26247200,トヨタファイナンス(カブ
120605,929,,キュウヨ,入金,,212293,26459493,
120607,998,,ハイトウキン,振込,,2700,26462193,イトウハム
120611,038:,,クレジット,支払,2000,,26460193,ヒロシマギンコウDC
120614,929:,,フリコミ,入金,,9416,26469609,トウシンブンパイキン
120615,038,,フリカエ,支払,10000000,,,トウシンコウニュウ
120615,038,,テイキ,支払,10000000,,6469609,
