0,1,2,3,4,5,6,7,8
120104,038,,クレジット,支払,10876,,24565771,トヨタファイナンス(カブ
120105,929,,キュウヨ,入金,,223221,24788992,
120110,038.,,クレジット,支払,2000,,24786992,ヒロシギンコウDC1
1201E6,929:,,フリコミ,入金,,9416,24796408,トガシンブンバイキン
120118,929:,,フリコミ,入金,,23562,24819970,トウシンプンバイキン
120120,929:.,,フリコミン,入金,,24741,24844711,下ウジンプンバイキン
120126,929:,,フリコミニ,入金,,Bas!::0701,24852412,トウシンブンパーイキン
120127,038,,クレジット,支払,1029,,24851383,オリコ
120131,929,,フリコミ,入金,,24891,,トウシンブンバイキン
120131,929,,フリコミ,入金,,50825,24927099,トウシンブンバイキン
120202,038,,クレジット,支払,15008,,|::24912091,下ヨタファイナンス(カブ
120203,929,,キュウヨ,入金,,213594,25125685,
120206,038,,クレジット,支払,--::1312,,25124373,UC(アオヤマキヤピタル)
120210,038,,クレジット,支払,2700,,25121673,ヒロシマギンコウDC
120214,929,,フリコミ,入金,,-::9416,25131089,トゥシンブンパイキン
120217,929,,フリコミ,入金,,23562,25154651,トウシンブンバイキン
120221,929,,フリコミ,入金,,24741,25179392,トウシンブンパイキン
120224,929,,フリコミ,入金,,7701,25187093,トゥシンプンバイキン
120302,038,,クレジット,支払,19120,,,トヨタファイナンス….(カブ
120302,929,,フリゴミ,入金,,24891,25192864,トウシンプンバイキン
123005,929,,キュウヨ,大金..,,213888,25406752,
120312,038,,リソグ,入金,,1935,,
120312,038,,クレジット,支払,2000,,25406687,ヒロシマギョコウ
120314,929,,フリコミ,入金,,9416,25416103,トウシンブンバイキン
120316,929,,フリコミ,入金,,23562,25439665,トウシンブンパイキン
120319,998,,フリコミ,振込,,90000,25529665,ハートフォードセイメイホケ
120322,929,,フリコミー,入金,,24741,25554406,トウシンブンバイキン
120327,929:,,フリコミ,入金,ス,7701,25562107,トウシンブンバイキン
120330,929,,フリコミ,入金,,24891,,トウシンブンパイキン
120330,929,,フリコミュ,入金,,-::45744,25632742,トウシンブンバイキン
120402,038,,クレジット,支払,7721,,･･::25625021,トヨタファイナンス･・･(カブ
120405,929,,キュウヨ,入金,,211764,25836785,
120410,038,,クレジット,支払,2000,,25834785,ヒロシマギンコウDC
120413,929,,フリコミ,入金,,9416,25844201,トウシンブンバイキン
120418,929.,,フリコミ,入金,,23562,25867763,トウシンプンパイキン
120420,929,,フリコミ,入金,,24741,25892504,トウシンプンバイキン
320426:,929.,,フリコミ･,入金,,7701,25900205,トウシンブンパイキン
120502,038,,グレジット,支払,6788,,,トヨタファイナンス(カブミ
12050Z,929,,キュウダ,入金,,213886,,
120502,929,,フリコミ,入金,,24891,26132194,トゥシンブンバイキン
120510,038,,クレジット,支払,12500,,26119694,ヒロシマギンコウDC
120514,929,,フリコミ,入金,,9416,26129110,トウシンブンパイキン
120518,929,,フリコミ,入金,00,:::23562,･::26152672,トウシンブンパイキン
120521,929,,フリコミ,入金,,24741,26177413,トウシンブンバイキン
120525,929,,フリコミ,入金,,7701,26185114,トウシンプンパイキン
120530,998,,ハイトウキン,振込,,1620,26186734,カゴメ
120531,929,,フﾘコミ,入金,,24891,,トウシンブンバイキン
120531,929,,フリコミ,入金,,50825,26262450,トウシンブンパイキン
120604,038,,クレジット,支払,15250,,26247200,トヨタファイナンス(カブ
120605,929,,キュウヨ,入金,,212293,26459493,
120607,998,,ハイトウキン,振込,,2700,26462193,イトウハム'
120611,038:,,クレジット,支払,2000,,26460193,"ヒロシマギソウDC"""
120614,929:,,フリコミ,入金,,9416,26469609,トウシンプンバイキン
120615,038,,フリカエ,支払,10000000,,,トウシンコウニュウ
120615,038,,テイキ,支払,10000000,,6469609,
