0,1,2,3
0,1,61,38
1,2,87,38
2,0,117,38
3,1,150,38
4,0,174,38
5,4,202,38
6,0,313,38
7,3,346,38
8,8,372,38
507,ク,617,38
508,レ,647,38
509,ジ,675,38
510,ッ,734,38
511,ト,770,38
746,支,956,38
747,払,1018,38
856,1,1455,38
857,0,1478,38
858,8,1506,38
859,7,1538,38
860,6,1565,38
1125,2,2371,38
1126,4,2398,38
1127,5,2437,38
1128,6,2461,38
1129,5,2488,38
1130,7,2516,38
1131,7,2545,38
1132,1,2580,38
1133,ト,2630,38
1134,ヨ,2656,38
1135,タ,2681,38
1136,フ,2713,38
1137,ァ,2742,38
1138,イ,2771,38
1139,ナ,2797,38
1140,ン,2831,38
1141,ス,2857,38
1142,(,2932,38
1143,カ,2946,38
1144,ブ,2974,38
9,1,60,93
10,2,88,93
11,0,116,93
12,1,149,93
13,0,175,93
14,5,205,93
15,9,314,93
16,2,344,93
17,9,373,93
512,キ,617,93
513,ュ,648,93
514,ウ,678,93
515,ヨ,708,93
748,入,956,93
749,金,1014,93
936,2,1925,93
937,2,1955,93
938,3,1985,93
939,2,2014,93
940,2,2042,93
941,1,2075,93
1145,2,2371,93
1146,4,2398,93
1147,7,2431,93
1148,8,2457,93
1149,8,2488,93
1150,9,2517,93
1151,9,2544,93
1152,2,2575,93
18,1,60,150
19,2,88,150
20,0,117,150
21,1,150,150
22,1,184,150
23,0,207,150
24,0,316,150
25,3,346,150
26,8,375,150
27,.,403,150
516,ク,618,150
517,レ,643,150
518,ジ,676,150
519,ッ,734,150
520,ト,769,150
750,支,957,150
751,払,1019,150
861,2,1482,150
862,0,1512,150
863,.,1529,150
864,0,1539,150
865,0,1568,150
1153,2,2371,150
1154,4,2399,150
1155,7,2430,150
1156,8,2460,150
1157,6,2490,150
1158,9,2519,150
1159,9,2547,150
1160,2,2576,150
1161,ヒ,2627,150
1162,ロ,2656,150
1163,シ,2683,150
1164,ヌ,2712,150
1165,ギ,2741,150
1166,ン,2803,150
1167,コ,2831,150
1168,ウ,2856,150
1169,D,2889,150
1170,C,2920,150
28,1,59,209
29,2,85,209
30,0,116,209
31,1,150,209
32,E,180,209
33,6,206,209
34,9,314,209
35,2,346,209
36,9,373,209
37,:,399,209
521,フ,619,209
522,リ,651,209
523,コ,677,209
524,ミ,708,209
752,入,960,209
753,金,1018,209
942,9,1986,209
943,4,2015,209
944,1,2047,209
945,6,2072,209
1171,2,2373,209
1172,4,2400,209
1173,7,2431,209
1174,9,2461,209
1175,6,2491,209
1176,4,2516,209
1177,0,2548,209
1178,8,2579,209
1179,ト,2632,209
1180,ガ,2655,209
1181,シ,2684,209
1182,ン,2715,209
1183,ブ,2742,209
1184,ン,2805,209
1185,バ,2828,209
1186,イ,2888,209
1187,キ,2916,209
1188,ン,2948,209
38,1,61,269
39,2,87,269
40,0,116,269
41,1,150,269
42,1,179,269
43,8,205,269
44,9,315,269
45,2,347,269
46,9,373,269
47,:,401,269
525,フ,620,269
526,リ,649,269
527,コ,678,269
528,ミ,707,269
754,入,959,269
755,金,1016,269
946,2,1955,269
947,3,1986,269
948,5,2016,269
949,6,2040,269
950,2,2074,269
1189,2,2375,269
1190,4,2401,269
1191,8,2431,269
1192,1,2468,269
1193,9,2490,269
1194,9,2519,269
1195,7,2544,269
1196,0,2576,269
1197,ト,2632,269
1198,ウ,2658,269
1199,シ,2686,269
1200,ン,2716,269
1201,プ,2744,269
1202,ン,2804,269
1203,バ,2829,269
1204,イ,2884,269
1205,キ,2917,269
1206,ン,2950,269
48,1,60,325
49,2,88,325
50,0,118,325
51,1,151,325
