"行","事務所コード","関与先コード","納税者(関与先)","決算月","申請・届出書類名","提出先","電子申請データ作成","電子署名(納税者)","電子署名(税理士)","送信","申請受付日時","即時通知","受信通知","送付書","提出期限","報告書","実践報告","監査担当者"
"1","5121","357","株式会社　Ｋｅｙ‐ｓｔｏｎｅ","10","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 1.12(08:51)",,"完了","可",,,,,,,,"佐々木　博也"
"2","5121","357","株式会社　Ｋｅｙ‐ｓｔｏｎｅ","10","減価償却資産の償却方法の届出書","税務署"," 4. 1.12(08:51)",,"完了","可",,,,,,,,"佐々木　博也"
"3","5121","357","株式会社　Ｋｅｙ‐ｓｔｏｎｅ","10","源泉所得税の納期の特例の承認に関する申請書","税務署"," 4. 1.12(08:51)",,"完了","可",,,,,,,,"佐々木　博也"
"4","5121","357","株式会社　Ｋｅｙ‐ｓｔｏｎｅ","10","青色申告の承認申請書","税務署"," 4. 1.12(08:51)",,"完了","可",,,,,,,,"佐々木　博也"
"5","5121","357","株式会社　Ｋｅｙ‐ｓｔｏｎｅ","10","棚卸資産の評価方法の届出書","税務署"," 4. 1.12(08:50)",,"完了","可",,,,,,,,"佐々木　博也"
"6","5121","357","株式会社　Ｋｅｙ‐ｓｔｏｎｅ","10","法人設立届出書","税務署"," 4. 1.12(08:51)",,"完了","可",,,,"有",,,,"佐々木　博也"
"7","5121","512","有限会社　はら建興","6","（地方）異動届","広島県西部県税事務所（広島）"," 4. 1.17(09:10)",,"完了","可",,,,,,,,"河野　秀太"
"8","5121","512","有限会社　はら建興","6","異動届出書","税務署"," 4. 1.17(09:10)",,"完了","可",,,,,,,,"河野　秀太"
"9","5121","512","有限会社　はら建興","6","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 1.17(09:10)",,"完了","可",,,,,,,,"河野　秀太"
"10","5121","549","株式会社　ケアメディック","11","消費税課税事業者届出書","税務署"," 4. 1.12(11:13)",,"完了","可",,,,,,,,"増田　健司"
"11","5121","637","株式会社　美工業","11","（地方）法人設立・設置届出書","広島県西部県税事務所（芸北）"," 4. 1. 6(09:09)",,"完了","可",,,,,,,,"川口　祐汰"
"12","5121","637","株式会社　美工業","11","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 1. 5(13:30)",,"完了","可",,,,,,,,"川口　祐汰"
"13","5121","637","株式会社　美工業","11","青色申告の承認申請書","税務署"," 4. 1. 6(09:09)",,"完了","可",,,,,,,,"川口　祐汰"
"14","5121","637","株式会社　美工業","11","法人設立届出書","税務署"," 4. 1. 6(09:10)",,"完了","可",,,,,,,,"川口　祐汰"
"15","5121","813","株式会社　ピース","10","（地方）異動届","広島県西部県税事務所（広島）"," 4. 1.21(08:50)",,"完了","可",,,,,,,,"佐々木　博也"
"16","5121","813","株式会社　ピース","10","（地方）異動届","広島市"," 4. 1.21(08:50)",,"完了","可",,,,,,,,"佐々木　博也"
"17","5121","813","株式会社　ピース","10","異動届出書","税務署"," 4. 1.24(08:32)",,"完了","可",,,,,,,,"佐々木　博也"
"18","5121","813","株式会社　ピース","10","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 1.24(08:32)",,"完了","可",,,,,,,,"佐々木　博也"
"19","5121","400","広島県建設労働組合　第七地域連合広島","12","異動届出書","税務署"," 4. 1.25(18:58)",,,,,,,,,,,"安田　祥英"
"20","5121","512","有限会社　はら建興","6","（地方）異動届","海田町"," 4. 1.17(09:10)",,,,,,,,,,,"河野　秀太"
"21","5121","637","株式会社　美工業","11","（地方）法人設立・設置届出書","広島市"," 4. 1. 6(09:09)",,,,,,,,,,,"川口　祐汰"
"22","5121","842","公益財団法人　メディックス・ハートサポート","3","（地方）異動届","広島県西部県税事務所（広島）"," 4. 1.15(16:39)",,,,,,,,,,,"河野　秀太"
"23","5121","842","公益財団法人　メディックス・ハートサポート","3","（地方）異動届","広島市"," 4. 1.15(16:38)",,,,,,,,,,,"河野　秀太"
"24","5121","842","公益財団法人　メディックス・ハートサポート","3","異動届出書","税務署"," 4. 1.15(16:39)",,,,,,,,,,,"河野　秀太"
"25","5121","842","公益財団法人　メディックス・ハートサポート","3","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 1.15(16:39)",,,,,,,,,,,"河野　秀太"
"26","5121","958","株式会社　曙光","7","消費税課税期間特例選択不適用届出書","税務署"," 4. 1.29(14:38)",,,,,,,,,,,"河野　秀太"
"27","15180","113","エリーロンドン大町店","12","消費税課税事業者届出書","税務署","19. 3.27(10:06)","完了","完了","済","19. 3.29(19:45)","正常",,"有",,,,"吉田　由美"
"28","15180","951","Ｒｅｖｉｎｃｅ","12","青色事業専従者給与に関する届出・変更届出書","税務署"," 3. 2.11(11:59)",,"完了","済"," 3. 2.26(12:56)","正常",,"有",,,,"三上　貴史"
"29","15180","773","ＯＬＬＩＥ’Ｓ","12","源泉所得税の納期の特例の要件に該当しなくなったことの届出書","税務署"," 3. 1. 4(17:03)",,"完了","済"," 3. 1. 4(18:16)","正常","異常",," 3. 1.31",,,"上畠　達也"
"30","15180","514","渡　大生","12","給与支払事務所等の開設・移転・廃止届出書","税務署"," 3. 5. 6(10:50)",,,,,,,," 3. 5.31",,,"吉田　由美"
"31","15180","514","渡　大生","12","所得税・消費税の納税地の異動又は変更に関する届出書","税務署"," 3. 5. 6(10:50)",,,,,,,," 3. 5.31",,,"吉田　由美"
