"行","事務所コード","関与先コード","納税者(関与先)","決算月","申請・届出書類名","提出先","電子申請データ作成","電子署名(納税者)","電子署名(税理士)","送信","申請受付日時","即時通知","受信通知","送付書","提出期限","報告書","実践報告","監査担当者"
"1","5121","235","有限会社　バンカー・サプライ","3","（地方）異動届","呉市"," 4. 7. 5(15:17)",,"完了","済"," 4. 7. 7(11:04)","正常","正常",,,,"－","木村　大介"
"2","15180","594","和田　尚吾",,"個人事業の開業・廃業等届出書","税務署"," 4. 7. 5(14:48)",,"完了","済"," 4. 7. 7(11:03)","正常","正常",,,,"－","木村　大介"
"3","15180","050","ＹＳ設備サービス","12","消費税簡易課税制度選択届出書","税務署"," 4. 6.28(12:42)",,"完了","済"," 4. 7. 7(11:03)","正常","正常",,,,"－","岡本　拓"
"4","15180","050","ＹＳ設備サービス","12","消費税課税事業者届出書","税務署"," 4. 6.29(08:18)",,"完了","済"," 4. 7. 7(11:03)","正常","正常","有",,,"－","岡本　拓"
"5","15180","874","山本電工","12","令和4年分所得税及び復興特別所得税の予定納税額の7月（11月）減額申請書","税務署"," 4. 6.30(14:31)",,"完了","済"," 4. 7. 7(11:03)","正常","正常","有",,,"－","大野　弘貴"
"6","5121","316","株式会社　アイケイ総合","4","消費税課税事業者届出書","税務署"," 4. 7. 1(16:12)",,"完了","済"," 4. 7. 7(11:03)","正常","正常",,,,"－","吉田　政偉"
"7","5121","716","株式会社　エス興業","4","消費税課税事業者届出書","税務署"," 4. 7. 4(14:45)",,"完了","済"," 4. 7. 7(11:03)","正常","正常",,,,"－","岩崎　健大"
"8","99999","476","宗田　学",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:58)",,"完了","済"," 4. 7. 6(19:55)","正常","正常","有",,,"－","大野　弘貴"
"9","99999","423","沖　里美",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:58)",,"完了","済"," 4. 7. 6(19:55)","正常","正常","有",,,"－","大野　弘貴"
"10","15180","545","堀江　剛",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:57)",,"完了","済"," 4. 7. 6(19:55)","正常","正常","有",,,"－","大神　浩央"
