"行","事務所コード","関与先コード","納税者(関与先)","決算月","申請・届出書類名","提出先","電子申請データ作成","電子署名(納税者)","電子署名(税理士)","送信","申請受付日時","即時通知","受信通知","送付書","提出期限","報告書","実践報告","監査担当者"
"1","5121","029","有限会社　大田不動産管理","2","（地方）異動届","広島市"," 4. 4.18(11:42)",,"完了","可",,,,,,,,"胤森　和樹"
"2","5121","029","有限会社　大田不動産管理","2","異動届出書","税務署"," 4. 4.18(11:42)",,"完了","可",,,,,,,,"胤森　和樹"
"3","5121","641","有限会社　植野左官工業","10","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 7.28(15:58)",,,,,,,,,,,"奥谷　佐代子"
"4","5121","997","株式会社　成風","5","（地方）異動届","広島県北部県税事務所（備北）"," 4. 7.20(10:33)",,,,,,,,,,,"木村　大介"
"5","5121","997","株式会社　成風","5","（地方）異動届","広島市"," 4. 7.20(10:33)",,,,,,,,,,,"木村　大介"
"6","5121","997","株式会社　成風","5","異動届出書","税務署"," 4. 7.19(19:18)",,,,,,,,,,,"木村　大介"
"7","5121","997","株式会社　成風","5","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 7.19(19:18)",,,,,,,,,,,"木村　大介"
"8","15180","146","Ｂｒｕｔｔｉ　ｅ　Ｂｕｏｎｉ","12","消費税の納税義務者でなくなった旨の届出書","税務署"," 4. 2.25(16:17)",,,,,,,,,,,"前田　拓哉"
"9","15180","205","ニュアンスヘア","12","消費税の納税義務者でなくなった旨の届出書","税務署"," 4. 2.25(16:25)",,,,,,,,,,,"前田　拓哉"
"10","15180","248","坂本　貞光",,"青色事業専従者給与に関する届出・変更届出書","税務署"," 2. 3.26(08:13)",,,,,,,"有",,,,"大野　弘貴"
"11","15180","306","原田　総子",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.23(15:59)",,,,,,,"有",,,,"加藤　雄也"
"12","15180","333","はんず　広島西店","12","給与支払事務所等の開設・移転・廃止届出書","税務署"," 4. 7.28(09:10)",,,,,,,,,,,"西村　麻実"
"13","15180","333","はんず　広島西店","12","個人事業の開業・廃業等届出書","税務署"," 4. 7.28(09:10)",,,,,,,,,,,"西村　麻実"
"14","15180","333","はんず　広島西店","12","所得税の青色申告の取りやめ届出書","税務署"," 4. 7.28(09:10)",,,,,,,,,,,"西村　麻実"
"15","15180","376","山田　淳司",,"消費税課税事業者届出書","税務署"," 2.12.25(11:09)",,,,,,,"有",,,,"吉田　政偉"
"16","15180","388","米田　学",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 7. 8(14:25)",,,,,,,"有",,,,"藤本　光丞"
"17","15180","393","豊田　賢準",,"消費税の納税義務者でなくなった旨の届出書","税務署"," 2. 3.25(18:45)",,,,,,,,,,,"河野　秀太"
"18","15180","418","森信　貴之",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 7. 8(14:28)",,,,,,,"有",,,,"藤本　光丞"
"19","15180","767","梅本　寛隆",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 7.14(13:55)",,,,,,,"有",,,,"藤本　光丞"
"20","15180","769","新納　敏行",,"消費税の納税義務者でなくなった旨の届出書","税務署"," 3. 3. 1(17:22)",,,,,,,,,,,"佐々木　博也"
"21","15180","955","佐伯　茂子",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.30(10:58)",,,,,,,"有",,,,"加藤　雄也"
"22","15180","977","鈴木　雅之",,"適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.15(19:42)",,,,,,,"有",,,,"岡村　直幸"
"23","5121","059","株式会社　上殿建設","6","適格請求書発行事業者の登録申請書(国内事業者用)","税務署"," 4. 6.10(15:52)",,"完了","済",,"異常",,,,,,"木村　大介"
"24","15180","113","エリーロンドン大町店","12","消費税課税事業者届出書","税務署","19. 3.27(10:06)","完了","完了","済","19. 3.29(19:45)","正常",,"有",,,,"吉田　由美"
"25","15180","951","Ｒｅｖｉｎｃｅ","12","青色事業専従者給与に関する届出・変更届出書","税務署"," 3. 2.11(11:59)",,"完了","済"," 3. 2.26(12:56)","正常",,"有",,,,"三上　貴史"
"26","15180","773","ＯＬＬＩＥ’Ｓ","12","源泉所得税の納期の特例の要件に該当しなくなったことの届出書","税務署"," 3. 1. 4(17:03)",,"完了","済"," 3. 1. 4(18:16)","正常","異常",," 3. 1.31",,,"上畠　達也"
