事務所コード,関与先コード,個人コード,提携先コード,関与先,実　績(A),前年実績(B),(A/B)
5121,554,0,,税理士法人長谷川会計,1:05,,
99999,031,11,,鳥取県琴浦町,1:10,,
99999,031,12,,鳥取県北栄町,1:15,,
99999,031,14,,鳥取県大山町,1:40,,
99999,031,19,,鳥取県江府町,3:00,,
99999,032,4,,島根県益田市,16:50,,
99999,032,6,,島根県安来市,5:40,,
99999,032,10,,島根県飯南町,5:40,,
99999,032,14,,島根県津和野町,5:20,,
99999,033,2,,岡山県倉敷市,8:30,,
99999,033,3,,岡山県津山市,5:45,,
99999,033,13,,岡山県真庭市,16:20,,
99999,033,14,,岡山県美作市,1:10,,
99999,033,15,,岡山県浅口市,40:45,,
99999,033,16,,岡山県和気町,1:00,,
99999,033,17,,岡山県早島町,16:40,,
99999,033,22,,岡山県勝央町,1:00,,
99999,034,8,,広島県三次市,15:35,,
99999,034,12,,広島県廿日市市,1:30,,
99999,034,19,,広島県安芸太田町,0:30,,
99999,034,20,,広島県北広島町,25:20,,
99999,034,22,,広島県世羅町,2:00,,
99999,034,23,,広島県神石高原町,2:20,,
99999,035,18,,山口県平生町,19:25,,
99999,035,38,,田布施・平生水道企業団,2:00,,
99999,037,11,,香川県三木町,39:35,,
99999,038,16,,愛媛県内子町,54:55,,
99999,038,20,,愛媛県愛南町,4:00,,
,,,,【合計】,300:00,0:00,
