"行","コード","関与先名・納税者名","税務署","課税方式区分","書類作成","電子申請ﾃﾞｰﾀ作成","担当者"
"1","05121/012","広島ｼﾃｨｻｰﾋﾞｽ","広島西","本則課税方式","済","済","山田　健司"
"2","05121/023","㈲ウタニ","広島北","本則課税方式","済","済","前田　拓哉"
"3","05121/028","坂本システム","広島北","本則課税方式","済","済","横井　要"
"4","05121/034","㈲魚勝","海田","本則課税方式","済","済","横井　要"
"5","05121/037","㈲リセット","岡山東","本則課税方式","済","済","山田　健司"
"6","05121/044","広島ﾗﾁﾞｴｰﾀｰ","広島西","本則課税方式","済","済","山田　健司"
"7","05121/052","㈱ヨコロ","廿日市","本則課税方式","済","済","岡村　直幸"
"8","05121/059","株式会社　上殿建設","広島北","本則課税方式","済","済","木村　大介"
"9","05121/061","株式会社　アイアール","広島南","本則課税方式","済","済","三上　貴史"
"10","05121/063","株式会社　裕美工業","海田","本則課税方式","済","済","横井　要"
"11","05121/066","株式会社　エムケイサ","広島北","本則課税方式","済","済","前田　拓哉"
"12","05121/067","㈲ファイン","廿日市","本則課税方式","済","済","山田　健司"
"13","05121/079","株式会社　昇和興業","広島西","本則課税方式","済","済","横井　要"
"14","05121/087","株式会社　丸子住設","広島南","本則課税方式","済","済","山田　健司"
"15","05121/093","㈱山陽タオル","廿日市","本則課税方式","済","済","佐々木　博也"
"16","05121/097","㈱リペイ","廿日市","本則課税方式","済","済","小林　政則"
"17","05121/098","株式会社　木ままや","広島北","本則課税方式","済","済","廣本　洋美"
"18","05121/117","㈱エレシステム","広島北","本則課税方式","済","済","前田　拓哉"
"19","05121/119","株式会社　ＬＩＢＥＬ","広島西","本則課税方式","済","済","佐々木　博也"
"20","05121/121","有限会社　石田鉄工所","広島北","本則課税方式","済","済","河野　秀太"
"21","05121/122","㈱ﾆｯｿｸ広島","広島西","簡易課税方式","済","済","横井　要"
"22","05121/125","㈲上剃建設","広島西","簡易課税方式","済","済","加藤　雄也"
"23","05121/127","広島ﾊｳｼﾞﾝｸﾞ","広島北","本則課税方式","済","済","岡村　直幸"
"24","05121/128","㈱ひなた","広島西","本則課税方式","済","済","河野　秀太"
"25","05121/129","モリモト建装","海田","本則課税方式","済","済","佐藤　秀史"
"26","05121/133","㈱ｸﾛｰﾊﾞｰｷｯﾁﾝ","広島東","本則課税方式","済","済","安田　祥英"
"27","05121/139","典工(株)","広島北","本則課税方式","済","済","佐藤　秀史"
"28","05121/140","㈲ダイクス","広島西","簡易課税方式","済","済","横井　要"
"29","05121/141","㈲プチ","広島西","本則課税方式","済","済","高橋　健吉"
"30","05121/146","有限会社　丸忠工業","広島西","本則課税方式","済","済","岡村　直幸"
"31","05121/153","㈲グローブ","海田","簡易課税方式","済","済","横井　要"
"32","05121/157","(有)殿林","吉田","本則課税方式","済","済","高橋　健吉"
"33","05121/161","㈱森下電設工業","広島北","本則課税方式","済","済","加藤　雄也"
"34","05121/171","株式会社　ティーエム","広島北","本則課税方式","済","済","横井　要"
"35","05121/177","小島建興　株式会社","広島西","本則課税方式","済","済","高橋　健吉"
"36","05121/187","株式会社　フレア","広島西","本則課税方式","済","済","岡村　直幸"
"37","05121/188","柄歯科医院","広島東","簡易課税方式","済","済","加藤　雄也"
"38","05121/198","分田建設　株式会社","西条","本則課税方式","済","済","岡村　直幸"
"39","05121/201","Ｎｅｘｔ㈱","廿日市","本則課税方式","済","済","山田　健司"
"40","05121/204","小笠原ﾓｰﾀｰｽ","吉田","本則課税方式","済","済","木村　大介"
"41","05121/206","(株)マコデン","海田","簡易課税方式","済","済","加藤　雄也"
"42","05121/211","㈲佐久間運送","広島北","本則課税方式","済","済","高橋　健吉"
"43","05121/216","株式会社　ＦＴ","広島北","本則課税方式","済","済","加藤　雄也"
"44","05121/217","㈱ＮＫ興産","吉田","本則課税方式","済","済","安田　祥英"
"45","05121/224","純薬　株式会社","廿日市","本則課税方式","済","済","山田　健司"
"46","05121/230","㈱ＦＩＯＲＥ","廿日市","本則課税方式","済","済","山田　健司"
"47","05121/233","株式会社　ＭＩＵＲＡ","廿日市","簡易課税方式","済","済","前田　拓哉"
"48","05121/235","ﾊﾞﾝｶｰｻﾌﾟﾗｲ","広島南","本則課税方式","済","済","木村　大介"
"49","05121/239","株式会社ヨシカワ","広島西","簡易課税方式","済","済","横井　要"
"50","05121/240","ｼﾋﾞﾙ調査設計","廿日市","簡易課税方式","済","済","加藤　雄也"
"51","05121/248","川原刃物機工","広島北","簡易課税方式","済","済","木村　大介"
"52","05121/251","モモタロー　株式会社","廿日市","簡易課税方式","済","済","木村　大介"
"53","05121/253","株式会社　営繕本舗","広島西","本則課税方式","済","済","高橋　健吉"
"54","05121/256","ＴＥＣ２２　株式会","広島東","本則課税方式","済","済","横井　要"
"55","05121/257","㈱三洋石材","広島西","本則課税方式","済","済","岡村　直幸"
"56","05121/261","淡野製作所　有限会社","広島北","本則課税方式","済","済","高橋　健吉"
"57","05121/265","㈲カオル交通","広島北","本則課税方式","済","済","安田　祥英"
"58","05121/268","株式会社　広松","広島北","本則課税方式","済","済","加藤　雄也"
"59","05121/269","㈲森脇工業","広島西","簡易課税方式","済","済","高橋　健吉"
"60","05121/270","㈱グローグッドコーポ","広島北","本則課税方式","済","済","木村　大介"
"61","05121/276","㈱ｻﾝｼｰﾓｰﾙﾄﾞ","広島北","本則課税方式","済","済","佐々木　博也"
"62","05121/279","㈲ｹｰｵｰﾃｯｸ","広島北","簡易課税方式","済","済","木村　大介"
"63","05121/286","環境開発公社","広島西","本則課税方式","済","済","山田　健司"
"64","05121/288","株式会社　ｂｏｈｅｍ","広島東","本則課税方式","済","済","佐々木　博也"
"65","05121/291","㈲森原自動車商会","広島北","本則課税方式","済","済","横井　要"
"66","05121/294","㈲新井板金","吉田","本則課税方式","済","済","佐藤　秀史"
"67","05121/295","シーエムシー","広島東","本則課税方式","済","済","安田　祥英"
"68","05121/298","郷原呉服堂","広島西","簡易課税方式","済","済","飛垣内　恵美子"
"69","05121/301","小島紙器工業㈱","広島北","本則課税方式","済","済","山田　健司"
